x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
0.00000000e+00,3.00000000e+02,2.25932322e+00,2.80000000e-02,-2.02023314e-18,-1.10731916e-16,2.22000000e-01,2.60640510e-17,2.20118771e-20,-5.79331050e-16,4.73303096e-17,0.00000000e+00
6.00000000e-03,3.00000000e+02,2.25932322e+00,2.80000000e-02,-1.81158797e-22,-9.50505260e-17,2.22000000e-01,7.56292926e-20,9.91487812e-18,-6.60269969e-16,4.73298247e-17,0.00000000e+00
1.20000000e-02,3.00000000e+02,2.25932322e+00,2.80000000e-02,-1.24373366e-22,-8.15882545e-17,2.22000000e-01,-1.17958879e-19,-5.03981014e-18,-7.15447089e-16,4.73298250e-17,0.00000000e+00
1.50000000e-02,3.00000000e+02,2.25932322e+00,2.80000000e-02,-1.15730616e-22,-7.53701541e-17,2.22000000e-01,-1.10570547e-19,-1.20499159e-17,-7.41120548e-16,4.73298253e-17,0.00000000e+00
1.65000000e-02,3.00000000e+02,2.25932322e+00,2.80000000e-02,-1.11160267e-22,-7.23844866e-17,2.22000000e-01,-1.06217224e-19,-1.54158948e-17,-7.53449039e-16,4.73298315e-17,0.00000000e+00
1.80000000e-02,3.00000000e+02,2.25932322e+00,2.80000000e-02,-1.06726224e-22,-6.94968725e-17,2.22000000e-01,-1.01980811e-19,-1.85641429e-17,-7.65278005e-16,4.73306276e-17,0.00000000e+00
1.87500000e-02,3.00000000e+02,2.25932322e+00,2.80000000e-02,-1.03558301e-22,-6.74345717e-17,2.22000000e-01,-9.89557611e-20,-1.63844633e-17,-7.70635668e-16,4.73695264e-17,0.00000000e+00
1.91250000e-02,3.00000000e+02,2.25932322e+00,2.79999999e-02,-8.59271914e-23,-5.59755345e-17,2.22000000e-01,-8.21671581e-20,6.72019609e-17,-7.64004779e-16,4.83297117e-17,0.00000000e+00
1.95000000e-02,3.00000000e+02,2.25932321e+00,2.79999994e-02,2.79531957e-22,1.80985401e-16,2.22000000e-01,2.66518924e-19,2.62259739e-15,-4.68408864e-16,8.02517133e-17,0.00000000e+00
1.98750000e-02,3.00000001e+02,2.25932307e+00,2.79999930e-02,8.42822561e-21,5.36724321e-15,2.22000002e-01,8.17457850e-18,8.00992878e-14,9.05304864e-15,1.14151960e-15,0.00000000e+00
2.00625000e-02,3.00000005e+02,2.25932250e+00,2.79999653e-02,8.67998882e-20,4.86942249e-14,2.22000010e-01,9.28353480e-17,9.70650294e-13,1.25434717e-13,1.45050888e-14,0.00000000e+00
2.02500000e-02,3.00000045e+02,2.25931911e+00,2.79997969e-02,1.44417466e-18,5.43581787e-13,2.22000060e-01,1.91030293e-15,1.49214743e-11,2.08719364e-12,2.43326935e-13,0.00000000e+00
2.04375000e-02,3.00000457e+02,2.25929974e+00,2.79987710e-02,4.07521734e-17,6.19555881e-12,2.22000364e-01,6.64451563e-14,2.33438777e-10,3.51590569e-11,4.16137508e-12,0.00000000e+00
2.05312500e-02,3.00002086e+02,2.25925785e+00,2.79962994e-02,6.76627690e-16,3.11075526e-11,2.22001095e-01,1.19505656e-12,1.54346482e-09,2.47011155e-10,2.98085614e-11,0.00000000e+00
2.06250000e-02,3.00011215e+02,2.25913458e+00,2.79875368e-02,1.08092523e-14,1.85495679e-10,2.22003683e-01,1.95094424e-11,1.24452940e-08,2.11846126e-09,2.62188535e-10,0.00000000e+00
2.06718750e-02,3.00031536e+02,2.25900837e+00,2.79747931e-02,7.51596205e-14,5.63532385e-10,2.22007431e-01,1.35370899e-10,4.77740669e-08,8.45168781e-09,1.08070553e-09,0.00000000e+00
2.07187500e-02,3.00098639e+02,2.25887919e+00,2.79458427e-02,4.90818388e-13,1.92235174e-09,2.22015880e-01,8.85192464e-10,2.12122827e-07,3.91051055e-08,5.19648007e-09,0.00000000e+00
2.07656250e-02,3.00320248e+02,2.25910641e+00,2.78801210e-02,3.21357704e-12,6.80455472e-09,2.22034761e-01,5.76450742e-09,9.75176999e-07,1.85649844e-07,2.58734148e-08,0.00000000e+00
2.07890625e-02,3.00622387e+02,2.25997316e+00,2.78160198e-02,1.04277592e-11,1.39978455e-08,2.22052666e-01,1.83040989e-08,2.39547748e-06,4.62199598e-07,6.73353746e-08,0.00000000e+00
2.08125000e-02,3.01272266e+02,2.26256197e+00,2.77114555e-02,3.41780822e-11,3.05180706e-08,2.22080604e-01,5.85631258e-08,6.38941832e-06,1.25536105e-06,1.91742747e-07,0.00000000e+00
2.08242187e-02,3.01877412e+02,2.26541555e+00,2.76345347e-02,6.80529094e-11,4.68550968e-08,2.22099809e-01,1.12240837e-07,1.10896743e-05,2.20273142e-06,3.46687540e-07,0.00000000e+00
2.08359375e-02,3.02829950e+02,2.27034114e+00,2.75336195e-02,1.39373369e-10,7.38456485e-08,2.22122854e-01,2.18897284e-07,2.00179116e-05,4.03715147e-06,6.54847278e-07,0.00000000e+00
2.08476562e-02,3.04327814e+02,2.27865227e+00,2.74015113e-02,3.00307312e-10,1.18572816e-07,2.22148884e-01,4.31158507e-07,3.69233526e-05,7.58299303e-06,1.26447582e-06,0.00000000e+00
2.08535156e-02,3.05397215e+02,2.28486277e+00,2.73202895e-02,4.74196977e-10,1.52178254e-07,2.22161894e-01,6.17512310e-07,5.10027184e-05,1.05933107e-05,1.78953352e-06,0.00000000e+00
2.08593750e-02,3.06770502e+02,2.29306396e+00,2.72267848e-02,7.78951489e-10,1.97084606e-07,2.22173477e-01,8.92611791e-07,7.12886954e-05,1.50082892e-05,2.56530548e-06,0.00000000e+00
2.08652344e-02,3.08532157e+02,2.30384190e+00,2.71193131e-02,1.35503409e-09,2.57338779e-07,2.22181836e-01,1.30022335e-06,1.00440776e-04,2.14718042e-05,3.70565861e-06,0.00000000e+00
2.08710937e-02,3.10788797e+02,2.31793994e+00,2.69960350e-02,2.52370942e-09,3.38673000e-07,2.22184217e-01,1.90803681e-06,1.42193966e-04,3.09069390e-05,5.37026931e-06,0.00000000e+00
2.08769531e-02,3.13674004e+02,2.33629302e+00,2.68549761e-02,5.04170657e-09,4.49402793e-07,2.22176513e-01,2.82293746e-06,2.01741397e-04,4.46143726e-05,7.77718792e-06,0.00000000e+00
2.08798828e-02,3.15415330e+02,2.34750915e+00,2.67769515e-02,7.48352371e-09,5.20514285e-07,2.22166619e-01,3.46108049e-06,2.40914163e-04,5.37481349e-05,9.36830631e-06,0.00000000e+00
2.08828125e-02,3.17395088e+02,2.36036287e+00,2.66935083e-02,1.11962141e-08,6.05176960e-07,2.22151047e-01,4.26248290e-06,2.88236163e-04,6.48758782e-05,1.12953346e-05,0.00000000e+00
2.08857422e-02,3.19643621e+02,2.37506864e+00,2.66043680e-02,1.68943625e-08,7.06385562e-07,2.22128381e-01,5.27273678e-06,3.45285371e-04,7.83752680e-05,1.36176564e-05,0.00000000e+00
2.08886719e-02,3.22194379e+02,2.39186291e+00,2.65092573e-02,2.56691438e-08,8.27934174e-07,2.22096947e-01,6.55169313e-06,4.13902001e-04,9.46662131e-05,1.64001827e-05,0.00000000e+00
2.08916016e-02,3.25083975e+02,2.41100456e+00,2.64079126e-02,3.91749791e-08,9.74658079e-07,2.22054787e-01,8.17816854e-06,4.96216370e-04,1.14199471e-04,1.97116910e-05,0.00000000e+00
2.08930664e-02,3.26671132e+02,2.42156433e+00,2.63547933e-02,4.86407166e-08,1.05982799e-06,2.22028819e-01,9.16128636e-06,5.43459053e-04,1.25361058e-04,2.15931021e-05,0.00000000e+00
2.08945313e-02,3.28361663e+02,2.43284366e+00,2.62999960e-02,6.03596371e-08,1.15410557e-06,2.21999074e-01,1.02782054e-05,5.95307562e-04,1.37560993e-04,2.36422303e-05,0.00000000e+00
2.08959961e-02,3.30161376e+02,2.44488369e+00,2.62434926e-02,7.48532326e-08,1.25860830e-06,2.21965183e-01,1.15482593e-05,6.52159344e-04,1.50859827e-04,2.58687338e-05,0.00000000e+00
2.08974609e-02,3.32076262e+02,2.45772685e+00,2.61852567e-02,9.27517858e-08,1.37460494e-06,2.21926755e-01,1.29936362e-05,7.14437368e-04,1.65313884e-04,2.82818251e-05,0.00000000e+00
2.08989258e-02,3.34112480e+02,2.47141671e+00,2.61252638e-02,1.14814218e-07,1.50353519e-06,2.21883379e-01,1.46397478e-05,7.82590280e-04,1.80973213e-04,3.08900551e-05,0.00000000e+00
2.09003906e-02,3.36276331e+02,2.48599785e+00,2.60634918e-02,1.41950585e-07,1.64703114e-06,2.21834625e-01,1.65156212e-05,8.57092264e-04,1.97879282e-04,3.37010781e-05,0.00000000e+00
2.09018555e-02,3.38574236e+02,2.50151563e+00,2.59999211e-02,1.75247371e-07,1.80694025e-06,2.21780044e-01,1.86543041e-05,9.38442573e-04,2.16062437e-04,3.67214013e-05,0.00000000e+00
2.09033203e-02,3.41012699e+02,2.51801597e+00,2.59345345e-02,2.15995634e-07,1.98534981e-06,2.21719172e-01,2.10932721e-05,1.02716467e-03,2.35539166e-04,3.99561279e-05,0.00000000e+00
2.09047852e-02,3.43598273e+02,2.53554507e+00,2.58673179e-02,2.65722040e-07,2.18461223e-06,2.21651530e-01,2.38748213e-05,1.12380495e-03,2.56309259e-04,4.34086999e-05,0.00000000e+00
2.09062500e-02,3.46337519e+02,2.55414913e+00,2.57982600e-02,3.26222671e-07,2.40737095e-06,2.21576632e-01,2.70464249e-05,1.22893098e-03,2.78352936e-04,4.70806533e-05,0.00000000e+00
2.09077148e-02,3.49236951e+02,2.57387395e+00,2.57273527e-02,3.99599431e-07,2.65658594e-06,2.21493983e-01,3.06610263e-05,1.34312924e-03,3.01628096e-04,5.09713950e-05,0.00000000e+00
2.09091797e-02,3.52302988e+02,2.59476456e+00,2.56545912e-02,4.88298710e-07,2.93555816e-06,2.21403087e-01,3.47772358e-05,1.46700230e-03,3.26067810e-04,5.50780152e-05,0.00000000e+00
2.09106445e-02,3.55541890e+02,2.61686478e+00,2.55799740e-02,5.95151839e-07,3.24795171e-06,2.21303446e-01,3.94593937e-05,1.60116554e-03,3.51578240e-04,5.93951459e-05,0.00000000e+00
2.09121094e-02,3.58959695e+02,2.64021676e+00,2.55035033e-02,7.23416693e-07,3.59781253e-06,2.21194571e-01,4.47774570e-05,1.74624318e-03,3.78037158e-04,6.39148766e-05,0.00000000e+00
2.09135742e-02,3.62562149e+02,2.66486045e+00,2.54251846e-02,8.76819626e-07,3.98958218e-06,2.21075979e-01,5.08066650e-05,1.90286394e-03,4.05293248e-04,6.86267355e-05,0.00000000e+00
2.09150391e-02,3.66354634e+02,2.69083312e+00,2.53450268e-02,1.05959673e-06,4.42810518e-06,2.20947202e-01,5.76269387e-05,2.07165612e-03,4.33166354e-04,7.35177400e-05,0.00000000e+00
2.09165039e-02,3.70342092e+02,2.71816879e+00,2.52630424e-02,1.27653325e-06,4.91862843e-06,2.20807787e-01,6.53219728e-05,2.25324233e-03,4.61448828e-04,7.85725191e-05,0.00000000e+00
2.09179687e-02,3.74528948e+02,2.74689769e+00,2.51792474e-02,1.53299971e-06,5.46679131e-06,2.20657301e-01,7.39779853e-05,2.44823389e-03,4.89908062e-04,8.37735005e-05,0.00000000e+00
2.09194336e-02,3.78919042e+02,2.77704575e+00,2.50936605e-02,1.83498341e-06,6.07860506e-06,2.20495334e-01,8.36821033e-05,2.65722507e-03,5.18290242e-04,8.91011563e-05,0.00000000e+00
2.09208984e-02,3.83515549e+02,2.80863404e+00,2.50063040e-02,2.18911333e-06,6.76042078e-06,2.20321501e-01,9.45203793e-05,2.88078720e-03,5.46325307e-04,9.45342920e-05,0.00000000e+00
2.09223633e-02,3.88320919e+02,2.84167838e+00,2.49172027e-02,2.60267712e-06,7.51888548e-06,2.20135445e-01,1.06575455e-04,3.11946301e-03,5.73732969e-04,1.00050363e-04,0.00000000e+00
2.09238281e-02,3.93336815e+02,2.87618884e+00,2.48263841e-02,3.08362811e-06,8.36088640e-06,2.19936836e-01,1.19923916e-04,3.37376112e-03,6.00229628e-04,1.05625799e-04,0.00000000e+00
2.09252930e-02,3.98564067e+02,2.91216946e+00,2.47338779e-02,3.64058088e-06,9.29348483e-06,2.19725376e-01,1.34633401e-04,3.64415098e-03,6.25535882e-04,1.11236323e-04,0.00000000e+00
2.09267578e-02,4.04002629e+02,2.94961793e+00,2.46397158e-02,4.28279398e-06,1.03238408e-05,2.19500795e-01,1.50759575e-04,3.93105842e-03,6.49384334e-04,1.16857243e-04,0.00000000e+00
